rowIDs,year,source,authors,title,n.citations,ECC
256,1965,The Journal of Animal Ecology,R Sadleir,"The relationship between agonistic behaviour and population changes in the deermouse, Peromyscus maniculatus (Wagner)",199,199
257,1965,NA,R Sommer,EFFECTS OF CLASSROOM ENVIRONMENT ON STUDENT LEARNING.,7,7
258,1965,British journal of pharmacology and chemotherapy,AP Silverman,Ethological and statistical analysis of drug effects on the social behaviour of laboratory rats,95,95
259,1966,Behaviour,"M Varley, D Symmes",The hierarchy of dominance in a group of macaques,55,55
260,1966,Animal Behaviour,LP Baenninger,The reliability of dominance orders in rats,72,72
261,1966,American Midland Naturalist,JL Wolfe,"Agonistic behavior and dominance relationships of the eastern chipmunk, Tamias striatus",30,30
262,1966,Folia Primatologica,"MW Sorenson, CH Conaway",Observations on the social behavior of tree shrews in captivity.,50,50
263,1966,Behaviour,"DD Cole, JN Shafer",A study of social dominance in cats,49,49
264,1966,Primates,SD Singh,The effects of human environment on the social behavior of rhesus monkeys,16,16
265,1966,The Wilson Bulletin,CR Ellis Jr,Agonistic behavior in the male starling,28,28
266,1966,Psychonomic Science,"G Lindzey, M Manosevitz, H Winston",Social dominance in the mouse,51,51
267,1966,The Psychological Record,"DA Schumsky, PD Jones",Reliable paired comparison dominance orders in rats,24,24
268,1966,Acta psychiatrica scandinavica,P Tienari,On intrapair differences in male twins with special reference on dominance-submissiveness.,46,46
269,1966,Psychonomic Science,"BN Bunnell, JR Bemporad, CK Flesher",Septal forebrain lesions and social dominance behavior in the hooded rat,36,36
270,1966,NA,MC McComb,"Comparative social behavior in Roman and Gothic squirrel monkeys, Saimiri sciureus",0,0
271,1966,The Journal of genetic psychology,MG King,Social Reflexes Nos. 1 and 2 in relation to approach and avoidance tendencies,3,3
272,1966,The Journal of genetic psychology,"LG Sharpe, JB Cooper",Interindividual recognition in albino rats,4,4
273,1966,Journal of comparative â€¦,"EW Hansen, HF Harlowâ€¦",Reactions of rhesus monkeys to familiar and unfamiliar peers.,12,12
274,1966,The Wilson Bulletin,JJ Hatch,"Collective territories in Galapagos mockingbirds, with notes on other behavior",21,21
275,1966,Journal of Social Issues,R Sommer,Man's proximate environment,93,93
276,1966,Japanese Journal of Psychology,E Kitano,A socio-psychological study on memory trace.,0,0
277,1966,Sexual Behavior and Personality Characteristics,S NEWMAN,and the Fantasies of Patients in Psychotherapy,0,0
278,1966,Zeitschrift fÃ¼r Tierpsychologie,BA Hazlett,Factors Affecting the Aggressive Behavior of the Hermit Crab Calcinus tibicen1,119,119
279,1966,The Journal of Wildlife Management,OJ Rongstad,Biology of penned cottontail rabbits,17,17
280,1966,NA,LE Brown,Home range and movement of small mammals,164,164
281,1966,NA,LJ Haggerty,Small Town Growth and Decline as a Distributional Phenomenon,0,0
282,1966,Primates,T NISHIDA,"A Behavioral Taxonomy"" for Macaca nemestrina and Macaca radiata: Based on Longitudinal Observation of Family Groups in the Laboratory",172,172
283,1966,Journal of the experimental analysis â€¦,"JR Husted, FS McKenna",THE USE OF RATS AS DISCRIMINATIVE STIMULI1,26,26
284,1966,NA,"O Halkka, L Heinonen, M Raatikainen, A Vasarainen",Crossing experiments with Philaenus spumarius (Homoptera).,12,12
285,1966,Primates,Y Sugiyama,An artificial social change in a hanuman langur troop (Presbytis entellus),87,87
286,1966,Psychological reports,RS Davidson Jr,Laboratory Maintenance and Learning of Alligator Mississippiensis,5,5
287,1966,NA,V Geist,On the behaviour and evolution of American mountain sheep,9,9
288,1966,Primates,"Y Katsuki, M Goodman, CR Carpenter",SCIENCE CONGRESS,0,0
289,1966,Behaviour,V Geist,The evolution of horn-like organs,454,454
290,1966,Folia Primatologica,D Bowden,Primate behavioral research in the USSR,17,17
291,1966,Bird-Banding,"MS Ficken, RW Ficken",Behavior of Myrtle Warblers in captivity,2,2
292,1966,"Play, Exploration and Territory in Mammals â€¦",O TODO,status one to the other. Whilst studying an area where a dominant had controlled a popu,0,0
293,1966,The Eugenics Review,JH Crook,Co-operation in primates.,16,16
294,1966,Animal behaviour,MPM Richards,Maternal behaviour in virgin female golden hamsters (Mesocricetus auratus Waterhouse): The role of the age of the test pup,54,54
295,1966,The Journal of genetic â€¦,"RE Miller, JH Banks Jr, H Kuwahara",The communication of affects in monkeys: Cooperative reward conditioning,68,68
296,1966,Bulletin of the Atomic â€¦,"JE Teeple, A Kramish, JP Scottâ€¦",On Proliferation: The Danger Isn't Nuclear/Sociobiology/Atomic Transition,0,0
297,1966,Smithsonian Miscellaneous Collections,"JF Eisenberg, RE Kuehn",The behavior of Ateles geoffroyi and related species,145,145
298,1966,The American Scholar,M BATES,On Being Mean,1,1
299,1966,Conflict Resolution and World Education,JL Cloudsley-Thompson,Animal Conflict and Adaptation in Relation to Human Conflict,1,1
300,1966,American Zoologist,R Ulrich,Pain as a cause of aggression,181,181
301,1966,Pediatric Clinics of North America,"SB Friedman, LA Glasgow",Psychologic factors and resistance to infectious disease,96,96
302,1967,The Lancet,J Price,The dominance hierarchy and the evolution of mental illness,237,237
303,1967,General and Comparative Endocrinology,"CD Louch, M Higginbotham",The relation between social rank and plasma corticosterone levels in mice,208,208
304,1967,Psychonomic â€¦,"WF Angermeier, JB Phelps, M Oreste, H Davisâ€¦",Dominance hierarchies in monkeys,28,28
305,1967,Science,MJ West,Foundress associations in polistine wasps: dominance hierarchies and the evolution of social behavior,174,174
306,1967,Psychonomic Science,"J Stewart, T Palfai","Castration, androgens, and dominance status in the rat",12,12
307,1967,American zoologist,"GB Rabb, JH Woolpy, BE Ginsburg",Social relationships in a group of captive wolves,180,180
308,1967,Psychonomic Science,RC Boelkins,Determination of dominance hierarchies in monkeys,64,64
309,1967,Behaviour,"DP Dickson, GR Barr, DA Wieckert",Social relationship of dairy cows in a feed lot,116,116
310,1967,NA,"WF Angermeier, JB Phelps",Dominance in monkeys: Behavior and biochemistry,3,3
311,1967,NA,AR Lumia,The relation of conditioned pecking to position in the dominance hierarchy in pigeons,1,1
312,1967,The Lancet,"GD Stainsby, EP Quibell",Perthes-like changes in the hips of children with thalidomide deformities,3,3
313,1967,The Lancet,"SA Barnett, AP Silverman",Dominance hierarchy and mental illness,2,2
314,1967,Journal of personality and social psychology,"DF Lott, R Sommer",Seating arrangements and status.,184,184
315,1967,Contemporary Education,"J Tagatz, GE Tagatz","THE EFFECTS OF EXEMPLAR OR NON-EXEMPLAR INSTANCES ON FORM, COLOR AND NUMBER DIMENSIONS ON CONCEPT ATTAINMENT OF SECOND GRADE PUPILS",1,1
316,1967,Behaviour,CH Southwick,An experimental study of intragroup agonistic behavior in rhesus monkeys (Macaca mulatta),288,288
317,1967,NA,JP Scott,Integral Animal Behavior,0,0
318,1967,Man,R Fox,In the beginning: Aspects of hominid behavioural evolution,54,54
319,1967,Behaviour,JG Vandenbergh,The development of social structure in free-ranging rhesus monkeys,102,102
320,1967,Science,"IC Kaufman, LA Rosenblum",Depression in infant monkeys separated from their mothers,161,161
321,1967,Science,E Satinoff,Disruption of hibernation caused by hypothalamic lesions,39,39
322,1967,Readings in Psychology: Understanding Human â€¦,ON SOCIAL,Selection 49 INFLUENCE OF,0,0
323,1967,Social Communication Among â€¦,OFH LANGURS,SOCIAL ORGANIZATION,0,0
324,1967,CASTE AND RACE,"A de REUCK, J KNIGHT",SYMBOLIC EXPRESSION OF RACIAL TENSION,0,0
325,1967,African Journal of Ecology,ML Modha,"The ecology of the Nile crocodile (Crocodylus niloticus laurenti) on Central Island, Lake Rudolf",133,133
326,1967,Behaviour,TT Struhsaker,Social structure among vervet monkeys (Cercopithecus aethiops),278,278
327,1967,Aggression and defense: Neural mechanisms and â€¦,SA Barnett,Attack and defense in animal societies,20,20
328,1967,American behavioral scientist,AE Scheflen,On the structuring of human communication,28,28
329,1967,Journal of humanistic psychology,AH Maslow,A theory of metamotivation: The biological rooting of the value-life,491,491
330,1967,Psychosomatic Medicine,"CI KAUFMAN, LA Rosenblum",The reaction to separation in infant monkeys: Anaclitic depression and conservation-withdrawal,400,400
331,1967,NA,SG Martin,Breeding biology of the bobolink.,16,16
332,1967,mental illness,"J Madlafousek, M Å½antovskÃ½, J HliÅˆÃ¡k, A KolÃ¡Å™skÃ½â€¦",3 7 Sociobiologie,0,0
333,1967,Scientific American,SA Barnett,Rats,52,52
334,1967,The Journal of Wildlife Management,"JE Ellis, JB Lewis",Mobility and annual range of wild turkeys in Missouri,60,60
335,1967,NA,JA Van Hooff,The care and management of captive chimpanzees with special emphasis on the ecological aspects,19,19
336,1967,UCLA Forum Med Sci,AB Rothballer,"Aggression, defense and neurohumors",45,45
337,1968,Child Development,AH Esser,Dominance hierarchy and clinical course of psychiatrically hospitalized boys,44,44
338,1968,Acta Psychologica,"KT Strongman, BG Champness",Dominance hierarchies and conflict in eye contact,110,110
339,1968,Journal of comparative and physiological â€¦,"G Becker, TB Flaherty",Group size as a determinant of dominance-hierarchy stability in the rat.,25,25
340,1968,The Journal of Social Psychology,"LS Tsai, HS Napier",Social conditioning in the modification of dominance hierarchy in white rats,6,6
341,1968,The Journal of genetic psychology,RF Gottier,The dominance-submission hierarchy in the social behavior of the domestic chicken,26,26
342,1968,Animal Behaviour,HM Marsden,Agonistic behaviour of young rhesus monkeys after changes induced in social rank of their mothers,59,59
343,1968,Primates,"K Tokuda, GD Jensen",The leader's role in controlling aggressive behavior in a monkey group,40,40
344,1968,Journal of mammalogy,"MW Sorenson, CH Conaway",The Social and Reproductive Behavior of Tupaia Montana in Captivity,20,20
345,1968,Folia Primatologica,JS Gartlan,Structure and function in primate society,279,279
346,1968,"â€¦ -Nevada Section TWS Transactions, Humboldt State â€¦",J Lieb,Aggression in the social behavior of Roosevelt elk,2,2
347,1968,Psychonomic Science,"WF Angermeier, JB Phelps, S Murrayâ€¦",Dominance in monkeys: Sex differences,15,15
348,1968,Psychonomic Science,"FN Willis, AR Lumia",Conditioned fighting and dominance in pigeons,2,2
349,1968,Journal of Comparative and Physiological Psychology,R Plotnik,Changes in social behavior of squirrel monkeys after anterior temporal lobectomy.,25,25
350,1968,Psychonomic Science,"G Becker, IJ Gaudet",Defecation and ambulation in a novel environment as determinants of dominance-subordination polarity in the rat,4,4
351,1968,"Factors affecting feed intake, aggression, growth and â€¦",M Flood,Changes in dominance and feeding hierarchies in Atlantic salmon as a result of transfer from a freshwater to a seawater environment,0,0
352,1968,The British Journal of Psychiatry,J Price,Neurotic and endogenous depression: a phylogenetic view,26,26
353,1968,"Factors affecting feed intake, aggression, growth and â€¦",M Flood,"Effect of feed-deprivation immediately following seawater transfer on feeding, dominance and growth of Atlantic salmon",0,0
354,1968,Primates,"K Tokuda, RC Simons, GD Jensen",Sexual behavior in a captive group of pigtailed monkeys (Macaca nemestrina),65,65
355,1968,Human Relations,M Patterson,Spatial factors in social interactions,76,76
356,1968,Proceedings,"MD LEVINE, TP GORDON, RM ROSE",OF ADAPTION TO CHRONIC SHOCK AVOIDANCE,0,0
357,1968,"Univ. of California, Santa Cruz, AÃ±o Nuevo Repts","BJ LeBoeuf, RS Peterson",Behavior of the northern elephant seal,3,3
358,1968,NA,CH Southwick,"Primate Ethology. Desmond Morris, Ed. Aldine, Chicago, 1967. x+ 374 pp., illus. $10.75",0,0
359,1968,The Journal of genetic psychology,SN Manocha,The effects of age on the behavior of rhesus monkeys: III. Free social behavior,2,2
360,1968,Journal of Mammalogy,"WA Watkins, WE Schevill",Underwater Playback of Their Own Sounds to Leptonychotes (Weddell Seals),34,34
361,1968,Nat. Hist,M Bates,Crowded people,3,3
362,1968,Folia Primatologica,SH Vessey,Interactions between free-ranging groups of rhesus monkeys,48,48
363,1968,NA,RF Gottier,The effects of social disorganization in Cichlasoma biocellatum,3,3
364,1968,Architects' Journal,S WILSON,"Personal Space, Journal of Experimental social Psychology 1 No. 3, 1965, 237-247.",0,0
365,1968,Behaviour,A Lill,Spatial organisation in small flocks of domestic fowl,51,51
366,1968,NA,CH Southwick,Descriptive Studies of Primate Behavior,0,0
367,1968,The British Journal of Psychiatry,N McConaghy,Neurotic and Endogenous Depression,0,0
368,1968,Folia Primatologica,"AP Wilson, SH Vessey",Behavior of free-ranging castrated rhesus monkeys,69,69
369,1968,The Study of Personality: An â€¦,JO Ellefson,Personality and the Biological Nature of Man,2,2
370,1968,NA,S Green,Primates,0,0
371,1968,The Journal of genetic â€¦,"B Sutton-Smith, BG Rosenberg",Sibling consensus on power tactics,45,45
372,1968,Psychonomic Science,GD Jensen,Reaction of monkey mothers to long-term separation from their infants,14,14
373,1968,Primates,T Nishida,The social group of wild chimpanzees in the Mahali Mountains,593,593
374,1968,Primates,ML Fleischman,Vocalizatons of chimpanzees in non-caged captivity,3,3
375,1968,Emu-Austral Ornithology,CJO Harrison,Some comparative notes on the Common and Yellow Silver-eyes,2,2
376,1968,NA,CM Weise,Winter Bird Studies At The UWM Field Station,0,0
377,1968,Ethology of Mammals,RF Ewer,Social organisation and territory,2,2
378,1968,NA,JA Darley,The social organization of breeding Brown-headed Cowbirds,39,39
379,1968,NA,FV DuMond,The squirrel monkey in a seminatural environment,218,218
380,1968,American Midland Naturalist,"JP Rood, FH Test","Ecology of the spiny rat, Heteromys anomalus, at Rancho Grande, Venezuela",30,30
381,1968,NA,RS SHARPE,"University Microfilms, Inc., Ann Arbor, Michigan",0,0
